"Agency_ID","Description","StateCode"
1,"PORT OF PORTLAND                                  ","0291"
2,"MULTNOMAH COUNTY                                  ","0298"
3,"GRESHAM                                           ","0144"
7,"CLACKAMAS FIRE DISTRICT #1                        ","0057"
8,"WASHINGTON COUNTY FIRE DISTRICT #2                ","0402"
9,"FAIRVIEW                                          ","0423"
10,"COLUMBIA COUNTY                                   ","0066"
11,"LAKE OSWEGO                                       ","0193"
17,"TUALATIN VALLEY FIRE & RESCUE                     ","0485"
19,"VANCOUVER FIRE                                    ","0999"
20,"CLARK COUNT #5                                    ","0999"
21,"CORBETT FIRE DISTRICT #14                         ","0999"
22,"SAUVIES ISLAND FIRE DISTRICT #30                  ","0467"
23,"BORING RFD #59                                    ","0033"
24,"SANDY FD                                          ","0323"
25,"GLADSTONE FD                                      ","0132"
26,"ESTACADA FD                                       ","0109"
27,"CORNELIUS                                         ","0074"
28,"FOREST GROVE                                      ","0120"
29,"BANKS                                             ","0999"
30,"CLARK COUNTY #3 - CAMAS                           ","0999"
32,"CLARK COUNTY #6 - HAZELDELL                       ","0999"
33,"CLARK COUNTY #11 - BATTLEGROUND                   ","0999"
34,"WASHOUGAL FD                                      ","0999"
98,"PORTLAND FIRE & RESCUE                            ","0291"
99,"OTHER                                             ","0999"
